Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Ilsiyar SHARAFUTDINOVA POSITION,Ilsiyar SHARAFUTDINOVA LAP TIME,Ilsiyar SHARAFUTDINOVA ELAPSED TIME,Tjasa KROFLIC POSITION,Tjasa KROFLIC LAP TIME,Tjasa KROFLIC ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Renata KARABOVA POSITION,Renata KARABOVA LAP TIME,Renata KARABOVA ELAPSED TIME,Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME
0,10.357,10.357,0,10.327,10.327,0,10.233,10.233,0,10.418,10.418,0,10.013,10.013,0,10.021,10.021
0,12.500,22.857,0,12.511,22.838,0,12.612,22.845,0,12.650,23.068,0,12.415,22.428,0,13.025,23.047
0,12.570,35.427,0,12.419,35.257,0,12.222,35.068,0,12.690,35.758,0,12.488,34.916,0,12.073,35.119
0,12.207,47.633,0,12.395,47.653,0,12.537,47.605,0,12.412,48.170,0,12.451,47.366,0,12.236,47.356
0,10.844,58.478,0,11.512,59.164,0,11.504,59.109,0,11.398,59.568,0,11.629,58.995,0,11.627,58.982
0,10.992,1:09.469,0,10.564,1:09.728,0,11.201,1:10.310,0,10.869,1:10.437,0,10.792,1:09.787,0,10.747,1:09.730
0,11.305,1:20.774,0,11.286,1:21.015,0,10.996,1:21.305,0,11.198,1:21.635,0,11.321,1:21.108,0,11.638,1:21.368
0,11.114,1:31.888,0,11.154,1:32.168,0,11.512,1:32.817,0,11.076,1:32.711,0,10.900,1:32.008,0,11.189,1:32.557
0,11.048,1:42.936,0,10.866,1:43.035,0,11.754,1:44.571,0,10.233,1:42.944,0,10.938,1:42.946,0,10.601,1:43.158
0,10.484,1:53.420,0,10.705,1:53.739,0,11.911,1:56.482,0,10.311,1:53.255,0,11.266,1:54.212,0,11.219,1:54.378
0,10.482,2:03.902,0,10.956,2:04.696,0,12.345,2:08.827,0,10.544,2:03.799,0,11.114,2:05.326,0,11.298,2:05.675
0,10.637,2:14.539,0,11.297,2:15.992,0,12.934,2:21.761,0,10.345,2:14.143,0,11.389,2:16.715,0,11.365,2:17.040
0,10.761,2:25.300,0,11.855,2:27.847,0,13.157,2:34.918,0,10.379,2:24.522,0,11.527,2:28.243,0,11.361,2:28.401
0,,,0,,,0,,,0,,,0,,,0,,
