Erin BARTLETT POSITION,Erin BARTLETT LAP TIME,Erin BARTLETT ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,SON Soo-Min POSITION,SON Soo-Min LAP TIME,SON Soo-Min ELAPSED TIME
3,9.320,9.320,2,9.311,9.311,5,9.839,9.839,1,8.954,8.954,4,9.547,9.547
3,14.897,24.217,2,14.837,24.148,5,14.967,24.806,1,15.004,23.958,4,15.178,24.725
3,15.299,39.515,2,15.213,39.361,5,15.235,40.041,1,15.212,39.170,4,15.195,39.920
3,15.573,55.088,2,15.588,54.948,5,15.776,55.816,1,15.612,54.782,4,15.814,55.734
3,14.913,1:10.001,2,14.930,1:09.878,5,14.927,1:10.743,1,15.084,1:09.866,4,14.930,1:10.663
1,12.371,1:22.372,3,12.654,1:22.532,4,12.228,1:22.971,2,12.534,1:22.400,5,12.312,1:22.975
2,11.616,1:33.988,1,11.326,1:33.858,5,11.519,1:34.490,3,11.687,1:34.087,4,11.342,1:34.317
2,10.353,1:44.341,1,10.141,1:43.999,4,10.217,1:44.707,3,10.412,1:44.498,5,10.410,1:44.727
4,10.536,1:54.877,2,10.643,1:54.642,3,10.099,1:54.806,5,10.414,1:54.913,1,9.854,1:54.581
5,10.377,2:05.254,3,10.388,2:05.030,2,10.168,2:04.973,4,10.231,2:05.143,1,10.257,2:04.838
5,10.513,2:15.767,4,10.531,2:15.561,3,10.482,2:15.455,2,10.279,2:15.423,1,10.425,2:15.263
5,10.590,2:26.357,2,9.964,2:25.524,3,10.149,2:25.604,4,10.206,2:25.629,1,10.237,2:25.500
5,10.782,2:37.139,3,10.361,2:35.886,2,10.192,2:35.796,4,10.364,2:35.993,1,10.165,2:35.665
5,11.416,2:48.555,2,9.910,2:45.795,3,10.149,2:45.945,4,10.741,2:46.734,1,9.955,2:45.620
