Lucia Ana ILIJIC POSITION,Lucia Ana ILIJIC LAP TIME,Lucia Ana ILIJIC ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,Maria SCHULZE POSITION,Maria SCHULZE LAP TIME,Maria SCHULZE ELAPSED TIME,VALCEPINA Martina POSITION,VALCEPINA Martina LAP TIME,VALCEPINA Martina ELAPSED TIME,Lexi BURKHOLDER POSITION,Lexi BURKHOLDER LAP TIME,Lexi BURKHOLDER ELAPSED TIME
4,10.37,10.37,3,10.30,10.30,5,10.44,10.44,2,10.19,10.19,1,10.02,10.02
1,11.90,22.27,4,12.47,22.77,5,12.50,22.94,3,12.44,22.63,2,12.40,22.42
1,10.90,33.17,4,10.87,33.64,5,10.83,33.77,3,10.85,33.48,2,10.88,33.30
1,10.87,44.04,4,10.76,44.40,5,10.77,44.54,3,10.80,44.28,2,10.85,44.15
1,10.54,54.58,4,10.54,54.94,5,10.55,55.09,3,10.55,54.83,2,10.56,54.71
1,11.07,1:05.65,4,11.09,1:06.03,5,11.05,1:06.14,3,11.10,1:05.93,2,11.05,1:05.76
2,11.22,1:16.87,4,11.03,1:17.06,5,11.12,1:17.26,3,10.96,1:16.89,1,10.95,1:16.71
5,11.50,1:28.37,3,10.60,1:27.66,4,10.77,1:28.03,2,10.64,1:27.53,1,10.66,1:27.37
5,11.85,1:40.22,3,10.88,1:38.54,4,11.16,1:39.19,2,10.87,1:38.40,1,10.86,1:38.23
5,12.07,1:52.29,3,10.91,1:49.45,4,11.66,1:50.85,2,10.95,1:49.35,1,10.97,1:49.20
5,12.10,2:04.39,3,11.00,2:00.45,4,11.97,2:02.82,2,10.97,2:00.32,1,10.97,2:00.17
5,12.38,2:16.77,2,10.70,2:11.15,4,12.29,2:15.11,1,10.57,2:10.89,3,11.23,2:11.40
5,12.78,2:29.55,2,10.33,2:21.48,4,12.75,2:27.86,1,10.24,2:21.13,3,11.28,2:22.68
5,13.34,2:42.883,2,10.89,2:32.366,4,13.07,2:40.930,1,10.44,2:31.567,3,12.10,2:34.780
