HAN Seung Soo POSITION,HAN Seung Soo LAP TIME,HAN Seung Soo ELAPSED TIME,ZHANG Hongchao POSITION,ZHANG Hongchao LAP TIME,ZHANG Hongchao ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,PIVIROTTO Ryan POSITION,PIVIROTTO Ryan LAP TIME,PIVIROTTO Ryan ELAPSED TIME
1,6.98,6.98,2,7.11,7.11,3,7.18,7.18,4,7.40,7.40
1,9.24,16.22,2,9.19,16.30,3,9.17,16.35,4,9.06,16.46
1,8.69,24.91,2,8.72,25.02,3,8.73,25.08,4,8.70,25.16
2,8.72,33.63,1,8.61,33.63,3,8.56,33.64,4,8.63,33.79
4,40.79,1:14.418,3,9.21,42.837,1,8.96,42.598,2,8.86,42.650
