Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,KIM Byeong Jun POSITION,KIM Byeong Jun LAP TIME,KIM Byeong Jun ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
2,9.73,9.73,6,10.38,10.38,4,10.06,10.06,3,9.90,9.90,1,9.55,9.55,5,10.20,10.20,7,10.52,10.52
1,13.93,23.66,6,13.90,24.28,5,14.12,24.18,4,14.12,24.02,2,14.22,23.77,3,13.69,23.89,7,13.90,24.42
1,13.35,37.01,6,13.39,37.67,5,13.33,37.51,4,13.37,37.39,2,13.28,37.05,3,13.22,37.11,7,13.39,37.81
2,12.30,49.31,6,12.17,49.84,5,12.22,49.73,4,12.22,49.61,1,12.21,49.26,3,12.35,49.46,7,12.21,50.02
2,11.15,1:00.46,5,11.01,1:00.85,6,11.13,1:00.86,4,11.14,1:00.75,1,11.16,1:00.42,3,11.06,1:00.52,7,11.06,1:01.08
2,9.89,1:10.35,6,9.90,1:10.75,5,9.81,1:10.67,4,9.83,1:10.58,1,9.78,1:10.20,3,9.96,1:10.48,7,9.78,1:10.86
2,9.85,1:20.20,6,9.90,1:20.65,5,9.83,1:20.50,1,9.48,1:20.06,4,10.15,1:20.35,3,9.84,1:20.32,7,9.95,1:20.81
2,9.48,1:29.68,6,9.37,1:30.02,3,9.22,1:29.72,1,9.53,1:29.59,5,9.53,1:29.88,4,9.47,1:29.79,7,9.34,1:30.15
3,9.18,1:38.86,6,9.18,1:39.20,1,8.97,1:38.69,2,9.18,1:38.77,5,9.20,1:39.08,4,9.19,1:38.98,7,9.16,1:39.31
3,9.27,1:48.13,6,9.24,1:48.44,1,9.19,1:47.88,2,9.24,1:48.01,5,9.25,1:48.33,4,9.23,1:48.21,7,9.27,1:48.58
3,9.19,1:57.32,6,9.13,1:57.57,1,9.16,1:57.04,2,9.17,1:57.18,5,9.18,1:57.51,4,9.24,1:57.45,7,9.08,1:57.66
3,9.07,2:06.39,6,9.12,2:06.69,1,9.12,2:06.16,2,9.10,2:06.28,5,9.09,2:06.60,4,9.08,2:06.53,7,9.14,2:06.80
3,9.11,2:15.50,6,9.04,2:15.73,1,9.11,2:15.27,2,9.10,2:15.38,4,9.05,2:15.65,5,9.18,2:15.71,7,9.05,2:15.85
3,9.21,2:24.703,5,9.26,2:24.986,1,9.24,2:24.505,2,9.22,2:24.594,4,9.27,2:24.921,7,9.66,2:25.365,6,9.25,2:25.092
