LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME
3,12.50,12.50,1,12.28,12.28,2,12.41,12.41,5,12.75,12.75,4,12.63,12.63
3,9.65,22.15,1,9.71,21.99,2,9.67,22.08,4,9.48,22.23,4,9.60,22.23
3,9.08,31.23,1,9.06,31.05,2,9.06,31.14,4,9.07,31.30,5,9.14,31.37
3,8.89,40.12,2,8.93,39.98,1,8.82,39.96,4,8.91,40.21,5,8.94,40.31
3,9.05,49.17,2,9.12,49.10,1,9.06,49.02,4,9.06,49.27,5,9.07,49.38
3,9.19,58.36,2,9.18,58.28,1,9.20,58.22,4,9.19,58.46,5,9.19,58.57
3,9.35,1:07.71,2,9.36,1:07.64,1,9.36,1:07.58,4,9.35,1:07.81,5,9.35,1:07.92
2,9.06,1:16.77,4,9.59,1:17.23,1,9.13,1:16.71,3,9.25,1:17.06,5,9.32,1:17.24
2,9.03,1:25.80,4,8.95,1:26.18,1,9.03,1:25.74,3,8.93,1:25.99,5,9.75,1:26.99
