KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Gabriel CHIASSON-POIRIER POSITION,Gabriel CHIASSON-POIRIER LAP TIME,Gabriel CHIASSON-POIRIER ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME,Maxime CHATAIGNIER POSITION,Maxime CHATAIGNIER LAP TIME,Maxime CHATAIGNIER ELAPSED TIME
3,8.32,8.32,1,8.11,8.11,2,8.22,8.22,5,8.52,8.52,4,8.42,8.42
4,11.62,19.94,1,11.62,19.73,3,11.59,19.81,2,11.25,19.77,5,11.62,20.04
4,10.09,30.03,2,10.02,29.75,3,10.09,29.90,1,9.91,29.68,5,10.11,30.15
3,10.04,40.07,2,10.28,40.03,5,10.20,40.10,1,10.26,39.94,4,9.93,40.08
4,9.67,49.74,3,9.53,49.56,5,9.78,49.88,2,9.50,49.44,1,9.14,49.22
4,9.36,59.10,3,9.42,58.98,5,9.31,59.19,2,9.51,58.95,1,9.67,58.89
2,9.26,1:08.36,1,9.36,1:08.34,5,9.42,1:08.61,4,9.58,1:08.53,3,9.54,1:08.43
1,9.29,1:17.65,2,9.38,1:17.72,5,9.44,1:18.05,4,9.44,1:17.97,3,9.43,1:17.86
1,9.41,1:27.06,2,9.43,1:27.15,5,9.31,1:27.36,4,9.38,1:27.35,3,9.36,1:27.22
1,9.38,1:36.44,2,9.40,1:36.55,3,9.42,1:36.78,5,9.65,1:37.00,4,9.67,1:36.89
1,9.29,1:45.73,2,9.31,1:45.86,3,9.35,1:46.13,5,9.52,1:46.52,4,9.50,1:46.39
1,9.36,1:55.09,2,9.38,1:55.24,3,9.49,1:55.62,5,9.69,1:56.21,4,9.73,1:56.12
1,9.51,2:04.60,2,9.68,2:04.92,3,9.67,2:05.29,5,10.09,2:06.30,4,10.00,2:06.12
1,9.86,2:14.453,3,10.06,2:14.978,2,9.64,2:14.927,4,10.33,2:16.625,5,10.69,2:16.801
