Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Edoardo REGGIANI POSITION,Edoardo REGGIANI LAP TIME,Edoardo REGGIANI ELAPSED TIME,Alexis YANG POSITION,Alexis YANG LAP TIME,Alexis YANG ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME
1,12.93,12.93,3,13.18,13.18,2,13.05,13.05,4,13.29,13.29,5,13.39,13.39
1,10.03,22.96,3,10.01,23.19,2,10.03,23.08,4,10.01,23.30,5,10.06,23.45
1,9.92,32.88,2,9.78,32.97,3,9.94,33.02,4,9.87,33.17,5,9.84,33.29
1,9.77,42.65,3,9.92,42.89,2,9.77,42.79,4,9.80,42.97,5,9.79,43.08
1,9.52,52.17,3,9.49,52.38,2,9.47,52.26,4,9.49,52.46,5,9.46,52.54
1,9.38,1:01.55,2,9.25,1:01.63,3,9.37,1:01.63,4,9.32,1:01.78,5,9.39,1:01.93
1,9.26,1:10.81,2,9.30,1:10.93,4,9.54,1:11.17,3,9.25,1:11.03,5,9.36,1:11.29
1,9.32,1:20.13,3,9.43,1:20.36,4,9.30,1:20.47,2,9.20,1:20.23,5,9.30,1:20.59
1,9.34,1:29.466,3,9.70,1:30.052,4,9.60,1:30.067,2,9.32,1:29.547,5,9.57,1:30.153
