Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,KIM Mi Hyang POSITION,KIM Mi Hyang LAP TIME,KIM Mi Hyang ELAPSED TIME
4,9.68,9.68,3,9.57,9.57,1,9.35,9.35,2,9.45,9.45,5,9.82,9.82,6,9.94,9.94
5,14.33,24.01,4,14.34,23.91,3,14.46,23.81,1,14.21,23.66,2,13.91,23.73,6,14.14,24.08
5,13.34,37.35,1,12.88,36.79,4,13.41,37.22,2,13.27,36.93,3,13.24,36.97,6,13.35,37.43
5,11.25,48.60,1,11.20,47.99,4,11.24,48.46,2,11.18,48.11,3,11.31,48.28,6,11.35,48.78
5,11.23,59.83,1,11.47,59.46,4,11.20,59.66,2,11.43,59.54,3,11.37,59.65,6,11.19,59.97
5,10.71,1:10.54,4,11.05,1:10.51,1,10.46,1:10.12,2,10.68,1:10.22,3,10.67,1:10.32,6,10.69,1:10.66
4,10.88,1:21.42,6,11.13,1:21.64,1,10.99,1:21.11,2,10.99,1:21.21,3,11.02,1:21.34,5,10.88,1:21.54
4,11.13,1:32.55,6,11.08,1:32.72,1,11.16,1:32.27,2,11.15,1:32.36,3,11.09,1:32.43,5,11.10,1:32.64
4,10.75,1:43.30,5,10.73,1:43.45,1,10.78,1:43.05,2,10.70,1:43.06,3,10.73,1:43.16,6,10.87,1:43.51
4,9.98,1:53.28,6,10.17,1:53.62,1,9.98,1:53.03,2,10.05,1:53.11,3,10.04,1:53.20,5,10.11,1:53.62
4,9.95,2:03.23,5,10.16,2:03.78,1,9.91,2:02.94,2,9.91,2:03.02,3,9.90,2:03.10,6,10.25,2:03.87
4,9.94,2:13.17,6,10.67,2:14.45,1,9.95,2:12.89,2,9.95,2:12.97,3,9.99,2:13.09,5,10.56,2:14.43
4,9.78,2:22.95,6,11.05,2:25.50,2,9.89,2:22.78,3,9.89,2:22.86,1,9.67,2:22.76,5,10.43,2:24.86
4,9.65,2:32.598,6,11.40,2:36.891,2,9.62,2:32.392,3,9.62,2:32.477,1,9.49,2:32.241,5,11.21,2:36.064
