PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,QU Chunyu POSITION,QU Chunyu LAP TIME,QU Chunyu ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME
1,13.46,13.46,3,13.69,13.69,5,13.92,13.92,4,13.80,13.80,2,13.57,13.57
1,10.49,23.95,2,10.39,24.08,5,10.37,24.29,4,10.37,24.17,3,10.59,24.16
2,9.85,33.80,4,9.82,33.90,5,9.70,33.99,1,9.49,33.66,3,9.70,33.86
2,9.80,43.60,3,9.80,43.70,4,9.80,43.79,1,9.83,43.49,5,10.12,43.98
2,9.82,53.42,3,9.81,53.51,4,9.82,53.61,1,9.84,53.33,5,9.74,53.72
3,10.02,1:03.44,2,9.85,1:03.36,4,9.92,1:03.53,1,9.94,1:03.27,5,9.94,1:03.66
4,10.11,1:13.55,3,10.09,1:13.45,1,9.87,1:13.40,2,10.14,1:13.41,5,9.98,1:13.64
3,9.85,1:23.40,4,10.16,1:23.61,1,9.30,1:22.70,2,9.86,1:23.27,5,10.01,1:23.65
4,10.26,1:33.630,5,10.19,1:33.776,1,9.67,1:32.37,2,10.09,1:33.36,3,9.79,1:33.432
