WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Vincent COURNOYER POSITION,Vincent COURNOYER LAP TIME,Vincent COURNOYER ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME
2,6.85,6.85,1,6.70,6.70,3,7.06,7.06,4,7.13,7.13
1,8.72,15.57,2,8.97,15.67,3,8.92,15.98,4,8.99,16.12
1,8.57,24.14,2,8.56,24.23,3,8.52,24.50,4,8.77,24.89
1,8.72,32.86,2,8.72,32.95,3,8.62,33.12,4,8.91,33.80
1,8.83,41.689,2,8.86,41.804,3,8.79,41.902,4,9.19,42.984
