Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Csaba BURJAN POSITION,Csaba BURJAN LAP TIME,Csaba BURJAN ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
1,7.19,7.19,3,7.30,7.30,2,7.19,7.19,4,7.51,7.51
4,9.61,16.80,2,9.37,16.67,1,9.31,16.50,3,9.26,16.77
4,9.21,26.01,3,9.20,25.87,2,9.25,25.75,1,8.85,25.62
4,9.19,35.20,3,9.13,35.00,2,9.16,34.91,1,9.00,34.62
4,9.39,44.582,3,9.25,44.247,2,9.30,44.209,1,9.03,43.649
