Olga MASKAIKINA POSITION,Olga MASKAIKINA LAP TIME,Olga MASKAIKINA ELAPSED TIME,Aika KLEIN POSITION,Aika KLEIN LAP TIME,Aika KLEIN ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Elena KAPLAN POSITION,Elena KAPLAN LAP TIME,Elena KAPLAN ELAPSED TIME
1,15.90,15.90,2,15.98,15.98,4,16.18,16.18,3,15.99,15.99
1,12.83,28.73,2,12.78,28.76,3,12.68,28.87,4,12.90,28.90
1,11.03,39.77,2,11.01,39.78,4,11.03,39.90,3,10.92,39.82
3,10.78,50.56,1,10.63,50.41,2,10.64,50.55,4,10.84,50.66
2,9.85,1:00.42,1,9.76,1:00.18,3,9.93,1:00.48,4,10.02,1:00.68
3,10.08,1:10.50,1,10.09,1:10.27,2,9.90,1:10.39,4,10.27,1:10.96
2,9.88,1:20.39,1,9.90,1:20.17,3,10.20,1:20.59,4,10.16,1:21.12
2,9.77,1:30.17,1,9.82,1:29.99,3,9.96,1:30.55,4,10.09,1:31.22
2,9.81,1:39.975,1,9.88,1:39.861,3,10.36,1:40.905,4,10.40,1:41.617
