Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME,Pietro MARINELLI POSITION,Pietro MARINELLI LAP TIME,Pietro MARINELLI ELAPSED TIME,Tamas ANTAL POSITION,Tamas ANTAL LAP TIME,Tamas ANTAL ELAPSED TIME,Kaviraj Prithvi COIMBATORE ASHOK POSITION,Kaviraj Prithvi COIMBATORE ASHOK LAP TIME,Kaviraj Prithvi COIMBATORE ASHOK ELAPSED TIME,Jasper BRUNSMANN POSITION,Jasper BRUNSMANN LAP TIME,Jasper BRUNSMANN ELAPSED TIME
1,10.39,10.39,2,10.57,10.57,4,10.92,10.92,6,11.28,11.28,3,10.71,10.71,7,11.46,11.46,5,11.09,11.09
1,14.43,24.82,3,14.40,24.97,4,14.08,25.00,2,13.58,24.86,5,14.36,25.07,7,13.94,25.40,6,14.09,25.18
4,12.05,36.87,2,11.72,36.69,1,11.60,36.60,3,11.91,36.77,5,11.88,36.95,7,11.78,37.18,6,11.78,36.96
4,12.38,49.25,2,12.26,48.95,1,12.21,48.81,3,12.29,49.06,5,12.36,49.31,7,12.39,49.57,6,12.39,49.35
4,11.84,1:01.09,2,11.96,1:00.91,1,11.97,1:00.78,3,11.94,1:01.00,5,11.88,1:01.19,7,11.94,1:01.51,6,11.97,1:01.32
2,10.94,1:12.03,1,11.07,1:11.98,3,11.28,1:12.06,4,11.23,1:12.23,5,11.17,1:12.36,7,11.53,1:13.04,6,11.16,1:12.48
3,10.35,1:22.38,1,10.19,1:22.17,2,10.23,1:22.29,5,10.27,1:22.50,4,10.12,1:22.48,7,10.77,1:23.81,6,10.17,1:22.65
3,10.39,1:32.77,1,10.35,1:32.52,2,10.37,1:32.66,5,10.48,1:32.98,4,10.39,1:32.87,7,10.99,1:34.80,6,10.44,1:33.09
3,9.87,1:42.64,2,9.85,1:42.37,1,9.61,1:42.27,5,9.90,1:42.88,4,9.86,1:42.73,7,11.40,1:46.20,6,9.92,1:43.01
3,9.64,1:52.28,2,9.79,1:52.16,1,9.82,1:52.09,6,9.73,1:52.61,4,9.65,1:52.38,7,11.73,1:57.93,5,9.40,1:52.41
3,9.49,2:01.77,2,9.53,2:01.69,1,9.51,2:01.60,6,9.64,2:02.25,5,9.73,2:02.11,7,12.43,2:10.36,4,9.41,2:01.82
4,9.50,2:11.27,3,9.47,2:11.16,1,9.32,2:10.92,6,9.38,2:11.63,5,9.47,2:11.58,7,13.34,2:23.70,2,9.22,2:11.04
3,9.35,2:20.62,2,9.26,2:20.42,1,9.40,2:20.32,4,9.53,2:21.16,5,9.88,2:21.46,7,12.39,2:36.09,6,18.57,2:29.61
3,9.39,2:30.01,3,9.50,2:29.901,2,9.31,2:29.615,5,9.88,2:31.016,5,10.39,2:31.85,7,12.70,2:48.757,1,14.11,2:29.599
