Konrad NAGY POSITION,Konrad NAGY LAP TIME,Konrad NAGY ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,LUI Pan To Barton POSITION,LUI Pan To Barton LAP TIME,LUI Pan To Barton ELAPSED TIME,Mykyta SOKOLOV POSITION,Mykyta SOKOLOV LAP TIME,Mykyta SOKOLOV ELAPSED TIME
1,9.55,9.55,5,9.86,9.86,4,9.65,9.65,2,9.63,9.63,3,9.64,9.64
2,13.88,23.43,5,14.03,23.89,4,14.02,23.67,1,13.67,23.30,3,13.87,23.51
2,13.53,36.96,5,13.44,37.33,4,13.50,37.17,3,13.67,36.97,1,13.33,36.84
3,11.78,48.74,5,11.71,49.04,4,11.70,48.87,1,11.51,48.48,2,11.74,48.58
3,12.23,1:00.97,5,12.13,1:01.17,4,12.21,1:01.08,1,12.18,1:00.66,2,12.20,1:00.78
3,11.31,1:12.28,5,11.42,1:12.59,4,11.38,1:12.46,1,11.54,1:12.20,2,11.47,1:12.25
2,10.53,1:22.81,5,10.63,1:23.22,4,10.60,1:23.06,1,10.59,1:22.79,3,10.68,1:22.93
1,9.77,1:32.58,5,9.71,1:32.93,4,9.77,1:32.83,3,10.01,1:32.80,2,9.78,1:32.71
1,9.51,1:42.09,3,9.34,1:42.27,2,9.36,1:42.19,5,9.58,1:42.38,4,9.59,1:42.30
1,9.45,1:51.54,3,9.47,1:51.74,2,9.43,1:51.62,5,9.62,1:52.00,4,9.61,1:51.91
1,9.55,2:01.09,3,9.54,2:01.28,2,9.55,2:01.17,5,9.64,2:01.64,4,9.58,2:01.49
1,9.62,2:10.71,3,9.58,2:10.86,2,9.60,2:10.77,5,9.60,2:11.24,4,9.70,2:11.19
3,9.63,2:20.34,2,9.45,2:20.31,1,9.31,2:20.08,5,10.52,2:21.76,4,10.18,2:21.37
3,9.84,2:30.179,2,9.14,2:29.445,1,9.27,2:29.345,5,10.61,2:32.365,4,10.12,2:31.486
