Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Alix-Myra ANDERSON POSITION,Alix-Myra ANDERSON LAP TIME,Alix-Myra ANDERSON ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME,Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME
2,13.57,13.57,4,13.69,13.69,3,13.64,13.64,1,13.30,13.30,0,,
4,9.96,23.53,5,9.97,23.66,3,9.84,23.49,2,10.00,23.31,1,0.00,23.22
4,9.80,33.33,5,9.88,33.54,2,9.73,33.22,3,9.93,33.24,1,9.90,33.13
4,9.91,43.25,5,9.78,43.33,3,9.95,43.17,2,9.72,42.97,1,9.68,42.81
3,9.72,52.98,4,9.76,53.10,5,9.98,53.15,2,9.78,52.75,1,9.79,52.60
5,9.81,1:02.79,4,9.68,1:02.78,3,9.57,1:02.73,1,9.72,1:02.47,2,9.87,1:02.47
2,9.40,1:12.19,5,9.79,1:12.58,4,9.79,1:12.53,1,9.39,1:11.87,3,9.89,1:12.36
2,9.62,1:21.82,4,10.03,1:22.61,5,10.14,1:22.67,1,9.61,1:21.48,3,9.95,1:22.32
2,9.80,1:31.614,4,10.28,1:32.885,5,10.60,1:33.265,1,10.00,1:31.477,3,10.36,1:32.676
