HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Jeff SIMON POSITION,Jeff SIMON LAP TIME,Jeff SIMON ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME
2,11.93,11.93,3,12.23,12.23,1,11.76,11.76,4,12.26,12.26
2,9.58,21.51,4,9.44,21.68,1,9.54,21.31,3,9.37,21.63
1,9.29,30.80,3,9.25,30.93,2,9.51,30.82,4,9.48,31.11
3,9.29,40.09,2,9.08,40.02,1,9.12,39.95,4,9.10,40.21
2,9.36,49.46,3,9.45,49.47,1,9.35,49.30,4,9.41,49.63
1,9.16,58.62,3,9.40,58.87,2,9.44,58.74,4,9.39,59.03
2,9.39,1:08.02,3,9.18,1:08.05,1,9.06,1:07.81,4,9.12,1:08.15
2,9.05,1:17.07,3,9.12,1:17.18,1,9.11,1:16.93,4,9.20,1:17.36
1,9.21,1:26.277,2,9.15,1:26.328,3,9.50,1:26.427,4,9.23,1:26.590
