KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Jakub BOROWSKI POSITION,Jakub BOROWSKI LAP TIME,Jakub BOROWSKI ELAPSED TIME,Alexander SELEZNOV POSITION,Alexander SELEZNOV LAP TIME,Alexander SELEZNOV ELAPSED TIME,Thomas PEARCE POSITION,Thomas PEARCE LAP TIME,Thomas PEARCE ELAPSED TIME,KIM Yun-Jae POSITION,KIM Yun-Jae LAP TIME,KIM Yun-Jae ELAPSED TIME,Guillaume BLAIS DUFOUR POSITION,Guillaume BLAIS DUFOUR LAP TIME,Guillaume BLAIS DUFOUR ELAPSED TIME
2,8.359,8.359,3,8.409,8.409,5,8.474,8.474,4,8.434,8.434,6,8.821,8.821,1,8.054,8.054
2,11.530,19.889,3,11.594,20.003,5,11.778,20.253,4,11.585,20.019,6,11.767,20.589,1,11.657,19.711
2,11.178,31.067,5,11.432,31.435,3,11.100,31.352,4,11.352,31.372,6,11.079,31.668,1,11.324,31.035
3,11.236,42.303,1,10.605,42.040,5,11.298,42.651,4,11.171,42.543,6,11.382,43.050,2,11.120,42.155
2,11.129,53.432,5,11.811,53.850,3,11.054,53.705,4,11.197,53.740,6,11.022,54.072,1,11.233,53.388
3,10.778,1:04.210,2,10.320,1:04.170,5,10.804,1:04.509,4,10.716,1:04.456,6,10.798,1:04.870,1,10.769,1:04.156
2,10.436,1:14.646,3,10.608,1:14.778,5,10.456,1:14.965,4,10.365,1:14.821,6,10.418,1:15.288,1,10.282,1:14.439
3,10.301,1:24.948,2,10.041,1:24.819,6,10.647,1:25.612,4,10.335,1:25.156,5,10.158,1:25.446,1,10.354,1:24.792
2,9.733,1:34.680,3,9.898,1:34.717,6,10.581,1:36.193,5,10.434,1:35.590,4,9.489,1:34.935,1,9.545,1:34.337
4,9.969,1:44.649,1,9.489,1:44.206,6,10.875,1:47.068,5,10.473,1:46.063,2,9.407,1:44.343,3,10.137,1:44.474
3,9.423,1:54.073,4,10.331,1:54.537,6,11.532,1:58.600,5,10.935,1:56.999,1,9.270,1:53.612,2,9.430,1:53.904
3,9.982,2:04.054,4,10.324,2:04.861,6,14.713,2:13.313,5,11.548,2:08.546,1,9.741,2:03.353,2,9.979,2:03.883
3,10.213,2:14.267,4,11.321,2:16.182,6,9.869,2:23.183,5,11.909,2:20.455,1,9.868,2:13.221,2,10.222,2:14.105
3,10.232,2:24.499,4,11.288,2:27.469,6,13.236,2:36.418,5,12.218,2:32.673,1,10.510,2:23.732,2,10.192,2:24.297
