Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Jeremy BECK POSITION,Jeremy BECK LAP TIME,Jeremy BECK ELAPSED TIME,Aliaksandr ANTANENKA POSITION,Aliaksandr ANTANENKA LAP TIME,Aliaksandr ANTANENKA ELAPSED TIME
1,6.71,6.71,2,6.79,6.79,3,7.17,7.17,4,7.34,7.34
1,9.14,15.85,2,9.20,15.99,3,9.11,16.28,4,9.52,16.86
1,8.59,24.44,2,8.71,24.70,3,8.68,24.96,4,9.16,26.02
1,8.71,33.15,2,8.64,33.34,3,8.74,33.70,4,9.22,35.24
2,9.06,42.209,1,8.73,42.071,3,9.25,42.949,4,9.52,44.751
