TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME
3,7.73,7.73,1,7.23,7.23,2,7.48,7.48,4,7.82,7.82
3,9.94,17.67,1,9.48,16.71,2,9.45,16.93,4,9.88,17.70
4,9.66,27.33,1,9.02,25.73,2,9.16,26.09,3,9.29,26.99
4,9.42,36.75,1,9.19,34.92,2,9.29,35.38,3,9.52,36.51
4,9.64,46.389,1,9.40,44.319,2,9.44,44.821,3,9.77,46.277
