Gabriel VOLET POSITION,Gabriel VOLET LAP TIME,Gabriel VOLET ELAPSED TIME,DJORDJEVIC Jovan POSITION,DJORDJEVIC Jovan LAP TIME,DJORDJEVIC Jovan ELAPSED TIME,Reinis BERZINS POSITION,Reinis BERZINS LAP TIME,Reinis BERZINS ELAPSED TIME,Stribor SUMAN POSITION,Stribor SUMAN LAP TIME,Stribor SUMAN ELAPSED TIME,RAJEEV Niranjan POSITION,RAJEEV Niranjan LAP TIME,RAJEEV Niranjan ELAPSED TIME
2,13.57,13.57,1,13.28,13.28,4,13.86,13.86,3,13.75,13.75,5,14.09,14.09
1,9.81,23.38,5,20.15,33.43,3,9.76,23.62,2,9.75,23.50,4,10.34,24.43
1,9.91,33.29,5,10.39,43.82,3,9.95,33.57,2,9.91,33.41,4,10.38,34.81
1,9.93,43.22,5,9.99,53.81,2,9.76,43.33,2,9.92,43.33,4,10.72,45.53
2,9.40,52.62,5,9.90,1:03.71,1,9.06,52.39,3,9.58,52.91,4,10.96,56.49
2,8.93,1:01.55,5,10.08,1:13.79,1,8.87,1:01.26,3,9.64,1:02.55,4,11.39,1:07.88
2,9.15,1:10.70,5,10.33,1:24.12,1,9.00,1:10.26,3,9.88,1:12.43,4,12.46,1:20.34
2,9.34,1:20.04,5,10.64,1:34.76,1,9.24,1:19.50,3,10.43,1:22.86,4,11.84,1:32.18
2,9.61,1:29.65,5,10.60,1:45.36,1,9.69,1:29.19,3,10.77,1:33.63,4,12.10,1:44.28
