HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME,Marie YOSHIDA POSITION,Marie YOSHIDA LAP TIME,Marie YOSHIDA ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME
1,15.31,15.31,2,15.36,15.36,3,15.46,15.46
1,10.79,26.10,2,10.84,26.20,3,10.83,26.29
1,10.52,36.62,2,10.46,36.66,3,10.50,36.79
1,9.74,46.36,2,9.77,46.43,3,9.65,46.44
1,9.60,55.96,3,9.75,56.18,2,9.66,56.10
1,9.68,1:05.64,3,9.70,1:05.88,2,9.63,1:05.73
1,9.87,1:15.51,3,9.82,1:15.70,2,9.89,1:15.62
1,9.90,1:25.41,3,9.85,1:25.55,2,9.87,1:25.49
1,10.11,1:35.513,3,10.12,1:35.661,2,10.10,1:35.583
