Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Kristina VUTEVA POSITION,Kristina VUTEVA LAP TIME,Kristina VUTEVA ELAPSED TIME,Jessica AUSMA POSITION,Jessica AUSMA LAP TIME,Jessica AUSMA ELAPSED TIME
0,,,1,9.38,9.38,3,9.91,9.91,2,9.63,9.63,0,,
0,,,1,13.69,23.07,3,15.26,25.17,2,13.55,23.18,0,,
0,,,1,12.86,35.93,3,11.15,36.33,2,12.95,36.14,0,,
0,,,1,12.97,48.90,3,13.33,49.66,2,13.01,49.15,0,,
0,,,1,13.09,1:01.99,3,12.74,1:02.40,2,13.19,1:02.35,0,,
0,,,2,13.15,1:15.15,1,12.69,1:15.10,3,12.88,1:15.24,0,,
0,,,1,10.93,1:26.08,2,11.14,1:26.25,3,11.05,1:26.29,0,,
0,,,3,11.47,1:37.56,1,10.96,1:37.21,2,11.18,1:37.47,0,,
0,,,3,11.08,1:48.64,1,11.40,1:48.61,2,11.15,1:48.63,0,,
0,,,3,10.20,1:58.84,1,9.88,1:58.50,2,10.17,1:58.80,0,,
0,,,2,9.74,2:08.59,1,9.97,2:08.47,3,10.09,2:08.89,0,,
0,,,2,9.87,2:18.46,1,9.75,2:18.23,3,10.11,2:19.01,0,,
0,,,2,10.26,2:28.73,1,9.91,2:28.14,3,10.59,2:29.61,0,,
0,,DNS,2,10.62,2:39.343,1,10.62,2:38.759,4,11.05,2:40.657,3,,2:39.477
