BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,HEO Andrew POSITION,HEO Andrew LAP TIME,HEO Andrew ELAPSED TIME,Sebastien GAGNON POSITION,Sebastien GAGNON LAP TIME,Sebastien GAGNON ELAPSED TIME,de LAAT Itzhak POSITION,de LAAT Itzhak LAP TIME,de LAAT Itzhak ELAPSED TIME,MURPHY Peter POSITION,MURPHY Peter LAP TIME,MURPHY Peter ELAPSED TIME
2,10.57,,1,10.42,10.42,3,10.65,10.65,5,10.90,10.90,6,11.03,11.03,4,10.72,10.72
3,15.92,,2,16.03,26.45,1,15.60,26.25,5,16.01,26.91,6,16.03,27.06,4,15.88,26.60
2,15.11,,4,15.38,41.83,1,15.21,41.46,5,15.28,42.19,6,15.26,42.32,3,15.19,41.79
3,15.38,,4,15.41,57.24,1,15.33,56.79,5,15.23,57.42,6,15.17,57.49,2,15.15,56.94
1,13.62,,4,13.66,1:10.90,2,13.93,1:10.72,5,13.67,1:11.09,6,13.72,1:11.21,3,13.93,1:10.87
4,12.76,,5,12.66,1:23.56,3,12.46,1:23.18,1,11.96,1:23.05,6,12.50,1:23.71,2,12.27,1:23.14
3,10.35,,5,10.19,1:33.75,2,10.46,1:33.64,4,10.69,1:33.74,6,10.15,1:33.86,1,10.43,1:33.57
5,9.57,,1,9.12,1:42.87,3,9.39,1:43.03,6,9.67,1:43.41,2,9.08,1:42.94,4,9.60,1:43.17
5,9.32,,1,9.13,1:52.00,3,9.20,1:52.23,4,9.01,1:52.42,2,9.17,1:52.11,6,9.64,1:52.81
5,9.05,,1,9.13,2:01.13,3,9.14,2:01.37,4,9.09,2:01.51,2,9.14,2:01.25,6,9.13,2:01.94
5,9.21,,1,9.04,2:10.17,4,9.21,2:10.58,3,8.95,2:10.46,2,9.02,2:10.27,6,9.28,2:11.22
5,9.25,,1,8.79,2:18.96,4,8.94,2:19.52,3,8.77,2:19.23,2,8.80,2:19.07,6,9.53,2:20.75
5,9.48,,1,8.81,2:27.77,4,8.98,2:28.50,3,8.77,2:28.00,2,8.79,2:27.86,6,9.92,2:30.67
5,9.74,,1,9.01,2:36.78,4,9.34,2:37.84,3,9.08,2:37.08,2,9.03,2:36.89,6,10.37,2:41.04
