ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,Magdalena WARAKOMSKA POSITION,Magdalena WARAKOMSKA LAP TIME,Magdalena WARAKOMSKA ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
2,12.89,12.89,4,13.23,13.23,3,13.07,13.07,1,12.88,12.88,5,13.31,13.31
1,9.79,22.68,4,9.63,22.86,3,9.73,22.80,2,9.81,22.69,5,9.65,22.96
1,9.42,32.10,3,9.44,32.30,5,9.68,32.48,2,9.50,32.19,4,9.47,32.43
1,9.48,41.58,3,9.48,41.78,5,9.50,41.98,2,9.48,41.67,4,9.45,41.88
5,22.86,1:04.44,4,20.19,1:01.97,3,9.59,51.57,2,9.85,51.52,1,9.56,51.44
5,28.59,1:33.03,4,20.05,1:22.02,3,9.95,1:01.52,2,9.55,1:01.07,1,9.31,1:00.75
5,16.04,1:49.07,4,14.05,1:36.07,3,9.75,1:11.27,2,9.40,1:10.47,1,9.43,1:10.18
5,11.94,2:01.01,4,11.81,1:47.88,3,9.89,1:21.16,2,9.60,1:20.07,1,9.79,1:19.97
5,10.82,2:11.83,4,10.75,1:58.63,3,10.10,1:31.26,2,10.06,1:30.13,1,10.03,1:30.00
