Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
3,7.73,7.73,2,7.54,7.54,6,8.22,8.22,1,7.40,7.40,4,7.81,7.81,5,7.93,7.93
2,10.93,18.66,3,11.13,18.67,4,10.57,18.79,1,11.14,18.54,6,11.06,18.87,5,10.87,18.81
4,10.41,29.08,3,10.36,29.04,1,10.06,28.85,2,10.38,28.93,6,10.38,29.25,5,10.32,29.14
2,9.96,39.04,6,10.16,39.21,3,10.18,39.04,1,10.10,39.03,5,9.84,39.10,4,9.91,39.05
4,9.99,49.04,5,9.86,49.07,2,9.82,48.86,1,9.81,48.85,6,10.11,49.21,3,9.95,49.00
4,9.87,58.91,1,9.51,58.58,3,10.02,58.88,2,9.86,58.72,6,9.89,59.10,5,9.91,58.92
4,9.93,1:08.84,1,10.05,1:08.64,5,10.01,1:08.89,3,10.10,1:08.83,6,9.82,1:08.93,2,9.89,1:08.81
1,9.17,1:18.02,2,9.57,1:18.21,4,9.62,1:18.51,3,9.42,1:18.25,6,9.64,1:18.58,5,9.71,1:18.53
1,9.51,1:27.53,3,9.55,1:27.76,5,9.43,1:27.95,2,9.39,1:27.65,4,9.37,1:27.95,6,9.46,1:27.99
1,9.46,1:36.99,2,9.33,1:37.10,5,9.48,1:37.44,3,9.63,1:37.28,6,9.67,1:37.63,4,9.36,1:37.35
1,9.21,1:46.21,2,9.32,1:46.42,5,9.44,1:46.88,3,9.27,1:46.56,6,9.35,1:46.98,4,9.34,1:46.70
1,9.48,1:55.70,2,9.46,1:55.89,5,9.32,1:56.21,4,9.45,1:56.02,6,9.41,1:56.39,3,9.25,1:55.95
1,9.52,2:05.22,3,9.50,2:05.39,4,9.51,2:05.73,5,9.81,2:05.84,6,9.52,2:05.91,2,9.30,2:05.26
1,9.76,2:14.974,2,9.72,2:15.111,4,9.64,2:15.368,6,11.03,2:16.863,5,9.56,2:15.469,3,10.01,2:15.265
