BLUNDEN Keanu POSITION,BLUNDEN Keanu LAP TIME,BLUNDEN Keanu ELAPSED TIME,Maksim SIARHEYU POSITION,Maksim SIARHEYU LAP TIME,Maksim SIARHEYU ELAPSED TIME,Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,NEMIRO Vladyslav POSITION,NEMIRO Vladyslav LAP TIME,NEMIRO Vladyslav ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Tobias PIETZSCH POSITION,Tobias PIETZSCH LAP TIME,Tobias PIETZSCH ELAPSED TIME
3,8.30,8.30,1,7.99,7.99,2,8.18,8.18,4,8.41,8.41,6,8.70,8.70,5,8.59,8.59
4,11.39,19.69,2,11.44,19.43,3,11.41,19.59,5,11.29,19.70,6,11.18,19.88,1,10.80,19.39
3,10.39,30.08,1,10.40,29.83,2,10.37,29.96,5,10.45,30.15,6,10.54,30.42,3,10.69,30.08
3,10.06,40.14,1,10.04,39.87,2,10.04,40.00,5,10.24,40.39,6,10.13,40.55,4,10.19,40.27
4,10.02,50.16,1,10.01,49.88,3,10.01,50.01,5,9.88,50.27,6,9.80,50.35,2,9.69,49.96
4,9.75,59.91,1,9.78,59.66,3,9.89,59.90,5,9.84,1:00.11,6,9.87,1:00.22,2,9.81,59.77
3,9.52,1:09.43,1,9.56,1:09.22,4,9.65,1:09.55,5,9.56,1:09.67,6,9.54,1:09.76,2,9.57,1:09.34
3,9.41,1:18.84,1,9.44,1:18.66,4,9.40,1:18.95,5,9.40,1:19.07,6,9.42,1:19.18,2,9.39,1:18.73
3,9.41,1:28.25,1,9.33,1:27.99,4,9.41,1:28.36,5,9.43,1:28.50,6,9.42,1:28.60,2,9.40,1:28.13
2,9.16,1:37.41,1,9.36,1:37.35,4,9.22,1:37.58,5,9.45,1:37.95,6,9.37,1:37.97,3,9.30,1:37.43
1,9.39,1:46.80,2,9.46,1:46.81,3,9.47,1:47.05,6,9.78,1:47.73,5,9.57,1:47.54,4,9.81,1:47.24
1,9.21,1:56.01,3,9.78,1:56.59,2,9.53,1:56.58,6,10.20,1:57.93,5,9.82,1:57.36,4,9.48,1:56.72
1,9.31,2:05.32,4,10.17,2:06.76,2,9.63,2:06.21,6,10.58,2:08.51,5,9.89,2:07.25,3,9.80,2:06.52
1,9.54,2:14.86,4,10.39,2:17.153,2,9.78,2:15.99,6,10.94,2:19.458,5,10.09,2:17.341,3,9.87,2:16.39
