Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME
1,14.75,14.75,2,14.89,14.89,3,15.03,15.03
1,10.77,25.52,2,10.74,25.63,3,10.72,25.75
1,10.32,35.84,2,10.29,35.92,3,10.28,36.03
1,10.15,45.99,2,10.14,46.06,3,10.12,46.15
2,9.85,55.84,1,9.76,55.82,3,9.74,55.89
3,9.30,1:05.14,1,9.07,1:04.89,2,9.11,1:05.00
3,9.01,1:14.15,1,8.86,1:13.75,2,8.85,1:13.85
3,9.17,1:23.32,1,8.81,1:22.56,2,9.00,1:22.85
3,9.57,1:32.884,1,9.33,1:31.888,2,9.47,1:32.316
