de PIAZZA Viola POSITION,de PIAZZA Viola LAP TIME,de PIAZZA Viola ELAPSED TIME,Holly HOYLAND POSITION,Holly HOYLAND LAP TIME,Holly HOYLAND ELAPSED TIME,ECKSTEIN Lisa POSITION,ECKSTEIN Lisa LAP TIME,ECKSTEIN Lisa ELAPSED TIME,Sofya BOYTSOVA POSITION,Sofya BOYTSOVA LAP TIME,Sofya BOYTSOVA ELAPSED TIME
1,16.00,16.00,3,16.10,16.10,4,16.11,16.11,2,16.02,16.02
1,11.78,27.78,4,11.96,28.06,2,11.75,27.86,3,11.94,27.96
1,12.12,39.90,4,12.14,40.20,2,12.12,39.98,3,12.14,40.10
1,11.39,51.29,4,11.38,51.58,2,11.39,51.37,3,11.38,51.48
1,10.77,1:02.06,4,10.68,1:02.26,2,10.77,1:02.14,3,10.77,1:02.25
1,9.96,1:12.02,4,10.12,1:12.38,3,10.05,1:12.19,2,9.78,1:12.03
2,9.81,1:21.83,4,9.74,1:22.12,3,9.79,1:21.98,1,9.36,1:21.39
2,9.81,1:31.64,4,9.69,1:31.81,3,9.72,1:31.70,1,9.57,1:30.96
2,9.88,1:41.52,4,9.96,1:41.77,3,9.91,1:41.61,1,9.75,1:40.71
