MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Cecilia MAFFEI POSITION,Cecilia MAFFEI LAP TIME,Cecilia MAFFEI ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,DESMET Hanne POSITION,DESMET Hanne LAP TIME,DESMET Hanne ELAPSED TIME
2,13.54,13.54,1,13.40,13.40,4,13.94,13.94,3,13.73,13.73
2,10.31,23.85,1,10.35,23.75,4,10.16,24.10,3,10.24,23.97
2,10.06,33.91,1,10.03,33.78,4,10.08,34.18,3,10.08,34.05
2,9.77,43.68,1,9.78,43.56,4,9.73,43.91,3,9.75,43.80
2,9.53,53.21,1,9.56,53.12,4,9.52,53.43,3,9.51,53.31
1,9.47,1:02.68,2,9.66,1:02.78,3,9.42,1:02.85,4,9.65,1:02.96
3,9.98,1:12.66,2,9.87,1:12.65,1,9.25,1:12.10,4,9.81,1:12.77
3,10.37,1:23.03,2,10.27,1:22.92,1,9.46,1:21.56,4,10.41,1:23.18
4,10.43,1:33.446,2,10.36,1:33.266,1,10.17,1:31.717,3,10.17,1:33.334
