Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Paula BZURA POSITION,Paula BZURA LAP TIME,Paula BZURA ELAPSED TIME,Yasuko SAKASHITA POSITION,Yasuko SAKASHITA LAP TIME,Yasuko SAKASHITA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME
4,10.10,10.10,3,9.89,9.89,2,9.76,9.76,1,9.59,9.59,5,10.25,10.25
4,14.30,24.40,3,14.41,24.30,2,14.41,24.17,1,14.41,24.00,5,14.26,24.51
4,13.28,37.68,2,13.02,37.32,3,13.29,37.46,1,13.20,37.20,5,13.35,37.86
4,12.10,49.78,3,12.33,49.65,1,11.97,49.43,2,12.34,49.54,5,12.04,49.90
4,12.36,1:02.14,3,12.35,1:02.00,1,12.37,1:01.80,2,12.36,1:01.90,5,12.36,1:02.26
4,12.61,1:14.75,3,12.63,1:14.63,1,12.62,1:14.42,2,12.62,1:14.52,5,12.58,1:14.84
4,12.39,1:27.14,3,12.48,1:27.11,1,12.46,1:26.88,2,12.48,1:27.00,5,12.55,1:27.39
1,9.79,1:36.93,3,10.34,1:37.45,5,19.62,1:46.50,2,10.38,1:37.38,4,10.27,1:37.66
1,9.55,1:46.48,4,20.81,1:58.26,5,13.97,2:00.47,2,9.66,1:47.04,3,9.48,1:47.14
1,9.69,1:56.17,5,22.37,2:20.63,4,10.30,2:10.77,2,9.55,1:56.59,3,17.42,2:04.56
1,10.17,2:06.34,5,18.98,2:39.61,3,9.97,2:20.74,2,10.04,2:06.63,4,20.63,2:25.19
1,10.59,2:16.93,5,17.12,2:56.73,3,10.13,2:30.87,2,10.64,2:17.27,4,17.53,2:42.72
1,10.93,2:27.86,5,16.12,3:12.85,3,10.88,2:41.75,2,10.76,2:28.03,4,16.08,2:58.80
1,10.75,2:38.604,5,21.09,3:33.936,3,11.52,2:53.262,2,10.79,2:38.819,4,13.41,3:12.204
