Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Satoshi SAKASHITA POSITION,Satoshi SAKASHITA LAP TIME,Satoshi SAKASHITA ELAPSED TIME,Andre PULEC POSITION,Andre PULEC LAP TIME,Andre PULEC ELAPSED TIME
3,6.95,6.95,1,6.65,6.65,2,6.93,6.93,4,6.99,6.99
2,8.89,15.84,1,9.05,15.71,4,17.45,24.38,3,10.09,17.09
2,8.63,24.48,1,8.50,24.21,4,16.60,40.98,3,8.03,25.13
2,8.75,33.23,1,8.97,33.18,4,10.91,51.89,3,9.09,34.22
2,9.16,42.390,1,9.14,42.316,4,10.42,1:02.302,3,9.47,43.682
