Florian FEICHTNER POSITION,Florian FEICHTNER LAP TIME,Florian FEICHTNER ELAPSED TIME,Istvan GAL ORAVECZ POSITION,Istvan GAL ORAVECZ LAP TIME,Istvan GAL ORAVECZ ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME
2,7.20,7.20,3,7.47,7.47,1,6.78,6.78,4,7.47,7.47
3,9.84,17.04,4,10.55,18.02,1,9.41,16.19,2,9.48,16.95
3,9.59,26.63,4,27.12,45.14,1,9.33,25.52,2,9.33,26.28
3,9.66,36.29,4,27.04,1:12.18,1,9.52,35.04,2,9.51,35.79
3,9.93,46.220,4,19.46,1:31.639,1,10.05,45.089,2,9.85,45.640
