TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,Jacqueline CHEN POSITION,Jacqueline CHEN LAP TIME,Jacqueline CHEN ELAPSED TIME,UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,Samra SELIMBEGOVIC POSITION,Samra SELIMBEGOVIC LAP TIME,Samra SELIMBEGOVIC ELAPSED TIME
2,18.15,18.15,3,18.33,18.33,1,17.96,17.96,4,18.48,18.48
2,13.50,31.65,3,13.51,31.84,1,13.51,31.47,4,13.50,31.98
3,11.59,43.24,1,11.24,43.08,2,11.66,43.13,4,11.44,43.42
3,10.19,53.43,1,10.16,53.24,2,10.27,53.40,4,10.21,53.63
3,9.95,1:03.38,1,9.78,1:03.02,2,9.93,1:03.33,4,10.32,1:03.95
2,9.91,1:13.29,1,9.86,1:12.88,3,10.01,1:13.34,4,10.72,1:14.67
2,9.93,1:23.22,1,9.94,1:22.82,3,10.43,1:23.77,4,11.36,1:26.03
2,10.12,1:33.34,1,10.33,1:33.15,3,10.95,1:34.72,4,11.85,1:37.88
2,10.61,1:43.950,1,10.71,1:43.860,3,11.63,1:46.350,4,12.76,1:50.634
