Liam O'BRIEN POSITION,Liam O'BRIEN LAP TIME,Liam O'BRIEN ELAPSED TIME,Yevgeniy REBIK POSITION,Yevgeniy REBIK LAP TIME,Yevgeniy REBIK ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,GALIAKHMETOV Adil POSITION,GALIAKHMETOV Adil LAP TIME,GALIAKHMETOV Adil ELAPSED TIME,PETRE Ward POSITION,PETRE Ward LAP TIME,PETRE Ward ELAPSED TIME,Ashwin Calen DSILVA POSITION,Ashwin Calen DSILVA LAP TIME,Ashwin Calen DSILVA ELAPSED TIME
2,10.40,,6,10.87,10.87,1,10.21,10.21,5,10.67,10.67,3,10.52,10.52,4,10.65,10.65
2,13.15,,5,13.16,24.03,1,13.16,23.37,4,13.25,23.92,3,13.21,23.73,6,13.58,24.23
2,12.00,,5,11.93,35.96,1,12.04,35.41,4,11.93,35.85,3,11.94,35.67,6,11.87,36.10
2,11.56,,5,11.54,47.50,1,11.55,46.96,4,11.53,47.38,3,11.57,47.24,6,11.55,47.65
2,11.23,,5,11.20,58.70,1,11.26,58.22,4,11.22,58.60,3,11.19,58.43,6,11.23,58.88
2,11.04,,5,11.03,1:09.73,1,10.98,1:09.20,4,11.01,1:09.61,3,11.06,1:09.49,6,11.04,1:09.92
3,10.40,,5,10.26,1:19.99,2,10.46,1:19.66,4,10.29,1:19.90,1,9.98,1:19.47,6,10.26,1:20.18
2,9.53,,4,9.59,1:29.58,5,10.10,1:29.76,3,9.56,1:29.46,1,9.71,1:29.18,6,9.78,1:29.96
2,9.82,,4,9.76,1:39.34,5,9.72,1:39.48,3,9.77,1:39.23,1,9.86,1:39.04,6,9.73,1:39.69
2,9.83,,4,9.84,1:49.18,5,9.82,1:49.30,3,9.81,1:49.04,1,9.82,1:48.86,6,9.93,1:49.62
3,9.62,,4,9.43,1:58.61,5,9.60,1:58.90,2,9.48,1:58.52,1,9.62,1:58.48,6,10.44,2:00.06
5,10.63,,3,9.16,2:07.77,4,9.64,2:08.54,1,8.91,2:07.43,2,9.28,2:07.76,6,10.96,2:11.02
5,9.90,,2,9.09,2:16.86,4,9.72,2:18.26,1,9.00,2:16.43,3,9.39,2:17.15,6,11.25,2:22.27
5,9.90,,2,9.31,2:26.17,4,10.00,2:28.265,1,9.24,2:25.67,3,9.53,2:26.683,5,11.32,2:33.591
