CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Vincent JEANNE POSITION,Vincent JEANNE LAP TIME,Vincent JEANNE ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME
2,10.24,10.24,4,10.56,10.56,1,10.05,10.05,3,10.41,10.41,5,10.82,10.82
2,13.45,23.69,4,13.43,23.99,1,13.46,23.51,3,13.42,23.83,5,13.29,24.11
2,11.77,35.46,4,11.73,35.72,1,11.75,35.26,3,11.76,35.59,5,11.71,35.82
3,10.91,46.37,5,10.91,46.63,2,10.99,46.25,4,10.90,46.49,1,10.42,46.24
3,10.10,56.47,5,10.15,56.78,2,10.20,56.45,4,10.19,56.68,1,10.11,56.35
2,9.75,1:06.22,5,9.69,1:06.47,4,9.94,1:06.39,1,9.53,1:06.21,3,9.98,1:06.33
1,9.77,1:15.99,5,9.83,1:16.30,3,9.70,1:16.09,2,9.80,1:16.01,4,9.84,1:16.17
2,9.49,1:25.48,5,9.51,1:25.81,1,9.19,1:25.28,3,9.60,1:25.61,4,9.55,1:25.72
1,9.35,1:34.83,5,9.37,1:35.18,2,9.59,1:34.87,4,9.39,1:35.00,3,9.26,1:34.98
1,9.48,1:44.31,5,9.57,1:44.75,2,9.51,1:44.38,4,9.63,1:44.63,3,9.55,1:44.53
1,9.37,1:53.68,5,9.39,1:54.14,3,9.42,1:53.80,4,9.36,1:53.99,2,9.21,1:53.74
2,8.96,2:02.64,5,9.03,2:03.17,3,8.84,2:02.64,4,9.03,2:03.02,1,8.80,2:02.54
2,9.01,2:11.65,5,9.03,2:12.20,3,9.28,2:11.92,4,9.09,2:12.11,1,8.95,2:11.49
2,9.11,2:20.761,5,9.74,2:21.938,3,9.27,2:21.182,4,9.32,2:21.423,1,9.23,2:20.719
