SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Yulia SHISHKINA POSITION,Yulia SHISHKINA LAP TIME,Yulia SHISHKINA ELAPSED TIME
1,13.97,13.97,3,14.17,14.17,3,14.17,14.17,5,14.32,14.32,2,14.07,14.07
1,10.33,24.30,2,10.20,24.37,4,10.30,24.47,5,10.25,24.57,3,10.32,24.39
2,9.89,34.19,1,9.74,34.11,4,9.88,34.35,5,9.87,34.44,3,9.88,34.27
2,9.82,44.01,1,9.83,43.94,4,9.88,44.23,5,9.85,44.29,3,9.83,44.10
2,9.84,53.85,1,9.84,53.78,4,9.78,54.01,5,9.80,54.09,3,9.83,53.93
1,9.54,1:03.39,2,9.77,1:03.55,4,9.72,1:03.73,5,9.68,1:03.77,3,9.70,1:03.63
1,9.59,1:12.98,3,9.63,1:13.18,4,9.72,1:13.45,1,9.21,1:12.98,5,9.84,1:13.47
2,9.66,1:22.64,3,9.89,1:23.07,5,10.33,1:23.78,1,9.07,1:22.05,4,10.09,1:23.56
2,9.75,1:32.39,3,10.27,1:33.34,5,11.10,1:34.860,1,9.46,1:31.51,4,10.18,1:33.725
