MONVOISIN Aurelie POSITION,MONVOISIN Aurelie LAP TIME,MONVOISIN Aurelie ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,FAN Kexin POSITION,FAN Kexin LAP TIME,FAN Kexin ELAPSED TIME,Jessica KOOREMAN POSITION,Jessica KOOREMAN LAP TIME,Jessica KOOREMAN ELAPSED TIME
2,7.57,7.57,4,7.82,7.82,1,7.40,7.40,3,7.70,7.70
2,9.58,17.15,4,9.56,17.38,1,9.33,16.73,3,9.58,17.28
2,9.06,26.21,3,8.92,26.30,1,8.88,25.61,4,9.04,26.32
3,9.21,35.42,2,9.05,35.35,1,9.03,34.64,4,9.27,35.59
3,9.32,44.74,2,9.17,44.52,1,9.23,43.87,4,9.34,44.913
