LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,KAMINAGA Shione POSITION,KAMINAGA Shione LAP TIME,KAMINAGA Shione ELAPSED TIME,JACOBS Gina POSITION,JACOBS Gina LAP TIME,JACOBS Gina ELAPSED TIME
1,14.50,14.50,2,14.63,14.63,5,14.93,14.93,3,14.71,14.71,4,14.82,14.82
2,11.26,25.76,3,11.22,25.85,5,11.12,26.05,1,10.94,25.65,4,11.13,25.95
3,10.13,35.89,1,9.76,35.61,5,10.02,36.07,2,10.15,35.80,4,10.03,35.98
3,9.40,45.29,1,9.47,45.08,5,9.49,45.56,2,9.40,45.20,4,9.49,45.47
2,9.52,54.81,1,9.63,54.71,5,9.53,55.09,3,9.71,54.91,4,9.55,55.02
2,9.67,1:04.48,1,9.68,1:04.39,5,9.91,1:05.00,3,9.64,1:04.55,4,9.83,1:04.85
1,9.58,1:14.06,2,9.76,1:14.15,5,9.92,1:14.92,3,9.77,1:14.32,4,9.95,1:14.80
1,9.55,1:23.61,2,9.60,1:23.75,5,10.12,1:25.04,3,9.68,1:24.00,4,10.11,1:24.91
1,9.69,1:33.30,2,9.59,1:33.34,5,10.31,1:35.350,3,9.61,1:33.613,4,10.38,1:35.295
