Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Danabek KHAIROV POSITION,Danabek KHAIROV LAP TIME,Danabek KHAIROV ELAPSED TIME
2,7.16,7.16,1,7.04,7.04,3,7.33,7.33,4,7.39,7.39
2,9.16,16.32,1,9.19,16.23,3,9.20,16.53,4,9.25,16.64
2,8.80,25.12,1,8.79,25.02,3,8.70,25.23,4,8.74,25.38
4,9.49,34.61,1,9.33,34.35,3,9.31,34.54,2,9.01,34.39
4,9.30,43.910,1,9.31,43.654,3,9.31,43.849,2,9.33,43.719
