Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Ian UPCOTT POSITION,Ian UPCOTT LAP TIME,Ian UPCOTT ELAPSED TIME,Blake SKJELLERUP POSITION,Blake SKJELLERUP LAP TIME,Blake SKJELLERUP ELAPSED TIME,Teerit VONGKOVIT POSITION,Teerit VONGKOVIT LAP TIME,Teerit VONGKOVIT ELAPSED TIME
1,14.07,14.07,2,14.17,14.17,3,14.32,14.32,4,14.41,14.41
2,10.56,24.63,3,10.60,24.77,1,10.19,24.51,4,10.51,24.92
1,9.76,34.39,3,9.73,34.50,2,9.93,34.44,4,9.79,34.71
2,9.68,44.07,3,9.73,44.23,1,9.63,44.07,4,9.86,44.57
1,9.70,53.77,2,9.64,53.87,3,9.91,53.98,4,9.88,54.45
1,9.51,1:03.28,2,9.50,1:03.37,3,9.52,1:03.50,4,10.27,1:04.72
1,9.38,1:12.66,2,9.40,1:12.77,3,9.35,1:12.85,4,10.79,1:15.51
1,9.49,1:22.15,2,9.41,1:22.18,3,9.46,1:22.31,4,11.35,1:26.86
2,9.89,1:32.035,1,9.52,1:31.691,3,9.78,1:32.086,4,11.76,1:38.620
