Tom IVESON POSITION,Tom IVESON LAP TIME,Tom IVESON ELAPSED TIME,Takafumi NISHITANI POSITION,Takafumi NISHITANI LAP TIME,Takafumi NISHITANI ELAPSED TIME,WOJNOWSKI Mariusz POSITION,WOJNOWSKI Mariusz LAP TIME,WOJNOWSKI Mariusz ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
1,8.988,8.988,2,9.102,9.102,4,9.341,9.341,3,9.300,9.300,5,10.427,10.427
4,12.367,21.355,2,11.927,21.029,5,12.174,21.515,3,12.039,21.339,1,10.481,20.908
4,11.366,32.720,2,11.435,32.464,5,11.426,32.940,3,11.345,32.684,1,11.364,32.272
4,11.449,44.168,2,11.475,43.938,5,11.446,44.385,3,11.384,44.067,1,11.631,43.903
4,10.779,54.947,3,10.840,54.777,5,10.657,55.042,2,10.661,54.728,1,10.740,54.642
4,10.966,1:05.913,3,11.033,1:05.810,5,10.975,1:06.017,1,10.934,1:05.661,2,11.110,1:05.752
4,11.035,1:16.947,3,10.867,1:16.676,5,11.009,1:17.025,2,10.997,1:16.658,1,10.883,1:16.634
3,10.309,1:27.256,4,10.679,1:27.355,5,10.479,1:27.503,1,10.470,1:27.127,2,10.569,1:27.203
4,10.067,1:37.323,3,9.939,1:37.294,5,9.887,1:37.390,2,10.059,1:37.185,1,9.926,1:37.129
1,9.212,1:46.534,5,9.587,1:46.880,4,9.430,1:46.820,3,9.388,1:46.573,2,9.441,1:46.570
3,9.343,1:55.877,5,9.295,1:56.175,4,9.186,1:56.005,2,9.198,1:55.770,1,9.190,1:55.759
3,9.080,2:04.956,4,9.074,2:05.249,5,9.353,2:05.358,2,9.123,2:04.892,1,9.049,2:04.807
2,9.221,2:14.177,4,9.647,2:14.895,5,9.993,2:15.350,3,9.296,2:14.188,1,9.335,2:14.142
3,9.86,2:24.033,4,10.52,2:25.410,5,10.76,2:26.106,1,9.73,2:23.918,2,9.85,2:23.992
