KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,KUCZYNSKI Lukasz POSITION,KUCZYNSKI Lukasz LAP TIME,KUCZYNSKI Lukasz ELAPSED TIME,KANCHARIN Natthapat POSITION,KANCHARIN Natthapat LAP TIME,KANCHARIN Natthapat ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME
1,7.00,7.00,3,7.07,7.07,2,7.02,7.02,5,7.46,7.46,4,7.22,7.22
2,9.20,16.20,1,9.02,16.09,3,9.20,16.22,5,9.23,16.69,4,9.12,16.34
4,8.83,25.03,1,8.66,24.75,2,8.73,24.95,5,8.90,25.59,3,8.65,24.99
4,8.97,34.00,1,8.67,33.42,3,8.89,33.84,5,9.01,34.60,2,8.55,33.54
3,8.77,42.77,0,8.73,42.15,4,9.05,42.89,5,9.19,43.79,0,8.62,42.16
