DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME
3,12.86,12.86,2,12.76,12.76,4,13.01,13.01,1,12.57,12.57
2,9.76,22.62,1,9.78,22.54,4,9.81,22.82,3,10.16,22.73
2,9.93,32.55,1,9.89,32.43,4,10.01,32.83,3,9.96,32.69
2,9.82,42.37,1,9.86,42.29,4,9.76,42.59,3,9.79,42.48
2,9.47,51.84,1,9.45,51.74,4,9.41,52.00,3,9.38,51.86
2,9.14,1:00.98,1,9.09,1:00.83,4,9.26,1:01.26,3,9.32,1:01.18
4,19.78,1:20.76,1,9.02,1:09.85,3,9.39,1:10.65,2,9.34,1:10.52
4,28.24,1:49.00,1,9.14,1:18.99,3,9.44,1:20.09,2,9.49,1:20.01
4,15.66,2:04.659,1,9.91,1:28.899,3,9.76,1:29.845,2,9.82,1:29.825
