Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME
1,12.70,12.70,2,12.86,12.86,3,12.96,12.96,5,13.18,13.18,4,13.08,13.08
1,10.16,22.86,2,10.11,22.97,4,10.22,23.18,5,10.11,23.29,3,9.99,23.07
1,9.95,32.81,2,9.97,32.94,4,10.00,33.18,5,9.99,33.28,3,10.00,33.07
1,9.70,42.51,2,9.70,42.64,4,9.68,42.86,5,9.69,42.97,3,9.70,42.77
1,9.57,52.08,2,9.45,52.09,4,9.49,52.35,5,9.46,52.43,3,9.47,52.24
5,9.54,1:01.62,1,8.99,1:01.08,3,9.05,1:01.40,4,9.09,1:01.52,2,8.88,1:01.12
5,9.64,1:11.26,2,8.89,1:09.97,3,8.94,1:10.34,4,8.91,1:10.43,1,8.83,1:09.95
5,9.16,1:20.42,1,8.79,1:18.76,3,8.90,1:19.24,4,8.82,1:19.25,2,9.00,1:18.95
5,9.64,1:30.053,1,9.05,1:27.805,4,9.27,1:28.504,3,8.94,1:28.189,2,9.20,1:28.147
