TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,JEON Ji-Soo POSITION,JEON Ji-Soo LAP TIME,JEON Ji-Soo ELAPSED TIME
2,12.41,12.41,4,12.63,12.63,3,12.47,12.47,1,12.41,12.41,5,12.86,12.86
2,18.53,30.94,4,18.56,31.19,1,18.31,30.78,3,18.67,31.08,5,18.54,31.40
2,15.07,46.01,3,14.90,46.09,1,15.09,45.87,4,15.05,46.13,5,14.97,46.37
2,13.85,59.86,4,13.85,59.94,1,13.86,59.73,3,13.78,59.91,5,13.84,1:00.21
3,13.29,1:13.15,2,13.14,1:13.08,1,13.32,1:13.05,4,13.37,1:13.28,5,13.27,1:13.48
3,11.51,1:24.66,1,11.39,1:24.47,2,11.56,1:24.61,4,11.54,1:24.82,5,11.44,1:24.92
2,10.87,1:35.53,1,10.98,1:35.45,3,10.96,1:35.57,4,10.90,1:35.72,5,10.94,1:35.86
2,10.19,1:45.72,1,10.21,1:45.66,3,10.21,1:45.78,4,10.27,1:45.99,5,10.26,1:46.12
4,9.93,1:55.65,1,9.74,1:55.40,2,9.62,1:55.40,3,9.55,1:55.54,5,9.55,1:55.67
5,9.65,2:05.30,3,9.76,2:05.16,1,9.42,2:04.82,2,9.40,2:04.94,4,9.56,2:05.23
5,10.01,2:15.31,3,10.03,2:15.19,1,9.64,2:14.46,2,9.60,2:14.54,4,9.96,2:15.19
4,10.02,2:25.33,5,10.55,2:25.74,1,9.76,2:24.22,2,9.81,2:24.35,3,9.35,2:24.54
4,10.26,2:35.59,5,11.21,2:36.95,1,9.88,2:34.10,3,9.89,2:34.24,2,9.61,2:34.15
4,10.55,2:46.139,5,11.84,2:48.790,2,10.04,2:44.140,3,10.20,2:44.437,1,9.72,2:43.867
