Mikhail-Jeonghan CHOI POSITION,Mikhail-Jeonghan CHOI LAP TIME,Mikhail-Jeonghan CHOI ELAPSED TIME,Robin van STEEN POSITION,Robin van STEEN LAP TIME,Robin van STEEN ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,WU Dajing POSITION,WU Dajing LAP TIME,WU Dajing ELAPSED TIME,Cole KRUEGER POSITION,Cole KRUEGER LAP TIME,Cole KRUEGER ELAPSED TIME
3,9.36,9.36,4,9.39,9.39,5,9.78,9.78,1,9.33,9.33,2,9.35,9.35
3,12.83,22.19,4,13.06,22.45,5,12.80,22.58,1,12.66,21.99,2,12.64,21.99
4,11.57,33.76,5,11.43,33.88,2,10.90,33.48,3,11.52,33.51,1,11.30,33.29
4,11.03,44.79,5,11.11,44.99,1,11.15,44.63,3,11.13,44.64,2,11.34,44.63
4,11.77,56.56,5,11.74,56.73,3,11.76,56.39,2,11.72,56.36,1,11.67,56.30
4,12.23,1:08.79,5,12.22,1:08.95,2,12.25,1:08.64,1,12.19,1:08.55,3,12.43,1:08.73
4,12.32,1:21.11,5,12.41,1:21.36,1,11.99,1:20.63,2,12.23,1:20.78,3,12.29,1:21.02
4,11.32,1:32.43,5,11.24,1:32.60,2,11.55,1:32.18,1,11.38,1:32.16,3,11.34,1:32.36
4,10.80,1:43.23,5,10.96,1:43.56,3,11.01,1:43.19,1,10.75,1:42.91,2,10.74,1:43.10
4,9.97,1:53.20,5,9.89,1:53.45,3,9.93,1:53.12,1,9.88,1:52.79,2,9.78,1:52.88
3,9.47,2:02.67,5,9.97,2:03.42,4,9.68,2:02.80,1,9.58,2:02.37,2,9.70,2:02.58
3,9.39,2:12.06,5,10.25,2:13.67,4,9.42,2:12.22,1,9.40,2:11.77,2,9.40,2:11.98
3,9.37,2:21.43,5,10.51,2:24.18,4,9.39,2:21.61,1,9.42,2:21.19,2,9.42,2:21.40
3,9.63,2:31.055,5,11.20,2:35.372,4,9.68,2:31.285,1,9.67,2:30.852,2,9.63,2:31.024
