Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,LEE Seung-Hoon POSITION,LEE Seung-Hoon LAP TIME,LEE Seung-Hoon ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,13.219,13.219,4,14.051,14.051,2,13.379,13.379,3,13.907,13.907
1,10.113,23.332,2,9.415,23.466,3,10.280,23.659,4,10.206,24.113
1,9.587,32.919,3,9.785,33.251,2,9.583,33.242,4,9.528,33.640
1,9.630,42.549,2,9.627,42.878,3,9.686,42.928,4,9.429,43.069
1,9.341,51.890,2,9.241,52.119,3,9.207,52.135,4,9.400,52.469
1,9.303,1:01.193,3,9.240,1:01.359,2,9.095,1:01.229,4,9.438,1:01.907
1,9.211,1:10.404,2,9.071,1:10.430,3,9.566,1:10.795,4,9.343,1:11.250
2,9.168,1:19.571,1,8.999,1:19.429,3,9.208,1:20.003,4,9.629,1:20.879
2,10.045,1:29.616,1,9.613,1:29.043,3,10.345,1:30.348,4,10.139,1:31.019
