Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
3,13.13,13.13,2,12.99,12.99,1,12.87,12.87,4,13.33,13.33
2,10.34,23.47,4,10.75,23.74,1,10.44,23.31,3,10.17,23.50
3,10.25,33.72,4,10.08,33.82,2,10.26,33.57,1,9.96,33.46
3,10.05,43.77,4,10.14,43.96,2,10.08,43.65,1,10.12,43.58
3,9.89,53.66,4,9.78,53.74,2,9.93,53.58,1,9.91,53.49
3,9.97,1:03.63,4,10.00,1:03.74,2,9.91,1:03.49,1,9.99,1:03.48
3,9.55,1:13.18,4,9.58,1:13.32,1,9.46,1:12.95,2,9.59,1:13.07
3,9.47,1:22.65,4,9.42,1:22.74,1,9.49,1:22.44,2,9.50,1:22.57
0,,PEN,3,9.59,1:32.325,1,9.52,1:31.951,2,9.45,1:32.017
