WANG Xinran POSITION,WANG Xinran LAP TIME,WANG Xinran ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,CHAMBERLAND-DOSTIE Lea POSITION,CHAMBERLAND-DOSTIE Lea LAP TIME,CHAMBERLAND-DOSTIE Lea ELAPSED TIME,LI Jinyu POSITION,LI Jinyu LAP TIME,LI Jinyu ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME
1,13.34,13.34,2,13.46,13.46,3,13.61,13.61,5,13.75,13.75,4,13.69,13.69
3,10.63,23.97,1,10.44,23.90,5,10.72,24.33,2,10.21,23.96,4,10.46,24.15
3,10.15,34.12,1,10.13,34.03,5,10.12,34.45,4,10.21,34.17,2,9.95,34.10
3,9.60,43.72,2,9.64,43.67,5,9.49,43.94,4,9.59,43.76,1,9.41,43.51
4,9.66,53.38,3,9.59,53.26,5,9.60,53.54,2,9.40,53.16,1,9.61,53.12
2,9.26,1:02.64,2,9.38,1:02.64,5,9.43,1:02.97,4,9.53,1:02.69,1,9.40,1:02.52
4,9.52,1:12.16,2,9.31,1:11.95,5,9.41,1:12.38,3,9.29,1:11.98,1,9.34,1:11.86
4,9.48,1:21.64,2,9.41,1:21.36,5,9.55,1:21.93,3,9.51,1:21.49,1,9.41,1:21.27
4,9.89,1:31.530,2,9.77,1:31.132,5,9.80,1:31.732,3,9.81,1:31.307,1,9.84,1:31.110
