REN Ziwei POSITION,REN Ziwei LAP TIME,REN Ziwei ELAPSED TIME,LIM Hyo Jun POSITION,LIM Hyo Jun LAP TIME,LIM Hyo Jun ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME
1,6.53,6.53,2,6.71,6.71,4,7.08,7.08,3,6.84,6.84
1,8.57,15.10,2,8.49,15.20,4,8.49,15.57,3,8.47,15.31
1,8.20,23.30,2,8.16,23.36,4,8.05,23.62,3,8.15,23.46
2,8.26,31.56,1,8.19,31.55,4,8.17,31.79,3,8.17,31.63
0,8.85,40.41,0,8.58,40.13,0,8.64,40.43,0,8.47,40.10
