Rudy KOEK POSITION,Rudy KOEK LAP TIME,Rudy KOEK ELAPSED TIME,Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME
2,10.12,10.12,3,10.39,10.39,4,10.74,10.74,1,10.11,10.11
4,15.60,25.73,3,15.32,25.71,2,14.75,25.50,1,15.13,25.24
3,13.23,38.97,2,13.16,38.87,1,13.30,38.80,4,13.85,39.10
3,12.69,51.66,1,12.58,51.45,2,12.78,51.58,4,12.60,51.70
3,11.40,1:03.07,1,11.39,1:02.85,4,11.55,1:03.14,2,11.31,1:03.02
2,11.07,1:14.14,1,11.16,1:14.02,3,11.00,1:14.14,4,11.16,1:14.18
3,10.51,1:24.65,2,10.61,1:24.63,1,10.46,1:24.60,4,10.50,1:24.69
2,9.97,1:34.63,3,10.07,1:34.70,1,9.91,1:34.52,4,10.19,1:34.88
1,9.01,1:43.64,3,9.08,1:43.79,2,9.23,1:43.76,4,9.04,1:43.93
1,9.11,1:52.75,3,9.11,1:52.91,2,9.01,1:52.77,4,9.15,1:53.08
2,9.01,2:01.77,4,8.99,2:01.91,1,8.92,2:01.70,3,8.82,2:01.90
2,8.93,2:10.71,3,9.10,2:11.01,1,8.89,2:10.59,4,9.24,2:11.15
2,9.10,2:19.81,3,9.47,2:20.49,1,9.06,2:19.66,4,9.41,2:20.56
2,9.61,2:29.411,4,9.84,2:30.322,1,9.53,2:29.181,3,9.75,2:30.306
