Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Volodymyr CHERNEGA POSITION,Volodymyr CHERNEGA LAP TIME,Volodymyr CHERNEGA ELAPSED TIME,YEO Jun-Hyung POSITION,YEO Jun-Hyung LAP TIME,YEO Jun-Hyung ELAPSED TIME
2,13.081,13.081,4,13.318,13.318,1,12.957,12.957,3,13.097,13.097
3,9.812,22.892,4,9.750,23.067,1,9.787,22.743,2,9.744,22.841
3,10.053,32.945,4,9.993,33.060,1,10.008,32.750,2,9.926,32.766
1,9.570,42.515,4,9.758,42.817,3,9.809,42.558,2,9.775,42.540
2,9.818,52.332,4,9.867,52.684,3,9.928,52.486,1,9.735,52.274
3,9.796,1:02.128,4,9.571,1:02.255,2,9.599,1:02.084,1,9.643,1:01.917
1,9.149,1:11.276,4,9.622,1:11.876,3,9.487,1:11.570,2,9.611,1:11.527
1,9.245,1:20.520,4,9.777,1:21.653,3,9.812,1:21.382,2,9.395,1:20.922
1,9.94,1:30.455,4,10.16,1:31.810,3,10.25,1:31.631,2,9.57,1:30.485
