Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,AHN Hyun-Soo POSITION,AHN Hyun-Soo LAP TIME,AHN Hyun-Soo ELAPSED TIME,Eitoku IKE POSITION,Eitoku IKE LAP TIME,Eitoku IKE ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME
3,13.073,13.073,2,12.967,12.967,1,12.709,12.709,4,13.086,13.086
3,9.339,22.411,4,9.472,22.438,1,9.620,22.328,2,9.323,22.408
3,9.672,32.083,1,9.389,31.826,2,9.528,31.856,4,9.814,32.221
4,9.507,41.589,1,9.384,41.210,3,9.665,41.520,2,9.250,41.471
1,8.960,50.549,2,9.363,50.572,3,9.205,50.724,4,9.288,50.758
2,9.285,59.834,1,9.083,59.655,4,9.525,1:00.249,3,9.410,1:00.167
1,9.137,1:08.970,2,9.331,1:08.985,4,9.403,1:09.651,3,8.988,1:09.155
3,9.514,1:18.484,1,9.061,1:18.045,4,10.229,1:19.879,2,9.016,1:18.171
3,9.38,1:27.859,1,9.59,1:27.631,4,10.12,1:29.996,2,9.56,1:27.730
