Bartosz KONOPKO POSITION,Bartosz KONOPKO LAP TIME,Bartosz KONOPKO ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME
1,13.01,13.01,4,13.40,13.40,3,13.31,13.31,2,13.20,13.20,5,13.57,13.57
1,9.86,22.87,4,9.80,23.20,3,9.77,23.08,2,9.79,22.99,5,9.75,23.32
1,9.49,32.36,4,9.55,32.75,3,9.53,32.61,2,9.46,32.45,5,9.52,32.84
1,9.34,41.70,4,9.24,41.99,3,9.26,41.87,1,9.25,41.70,5,9.54,42.38
2,9.05,50.75,4,8.99,50.98,3,8.98,50.85,1,8.98,50.68,5,9.99,52.37
3,8.92,59.67,4,8.89,59.87,2,8.81,59.66,1,8.86,59.54,5,10.68,1:03.05
3,8.95,1:08.62,4,8.90,1:08.77,2,8.82,1:08.48,1,8.85,1:08.39,5,11.19,1:14.24
3,9.06,1:17.68,4,9.06,1:17.83,2,8.94,1:17.42,1,8.95,1:17.34,5,11.98,1:26.22
3,9.35,1:27.038,4,9.38,1:27.219,2,9.26,1:26.68,1,9.12,1:26.46,5,12.32,1:38.545
