XU Aili POSITION,XU Aili LAP TIME,XU Aili ELAPSED TIME,GONG Li POSITION,GONG Li LAP TIME,GONG Li ELAPSED TIME,WANG Xiran POSITION,WANG Xiran LAP TIME,WANG Xiran ELAPSED TIME,LEE Suyoun POSITION,LEE Suyoun LAP TIME,LEE Suyoun ELAPSED TIME
2,14.59,14.59,3,14.69,14.69,1,14.33,14.33,4,14.87,14.87
4,11.19,25.78,3,10.96,25.65,2,11.29,25.62,1,10.55,25.42
3,9.95,35.73,2,9.93,35.58,4,10.27,35.89,1,10.13,35.55
3,10.16,45.89,2,10.16,45.74,4,10.12,46.01,1,10.10,45.65
3,10.17,56.06,2,10.22,55.96,4,10.18,56.19,1,10.23,55.88
3,9.93,1:05.99,2,9.92,1:05.88,4,9.92,1:06.11,1,9.87,1:05.75
3,9.50,1:15.49,2,9.50,1:15.38,4,9.52,1:15.63,1,9.52,1:15.27
3,9.41,1:24.90,2,9.46,1:24.84,4,9.38,1:25.01,1,9.47,1:24.74
4,21.65,1:46.502,2,9.74,1:34.568,3,9.63,1:34.622,1,9.78,1:34.502
