HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME,Assen PANDOV POSITION,Assen PANDOV LAP TIME,Assen PANDOV ELAPSED TIME
1,6.86,6.86,2,6.98,6.98,3,7.10,7.10,4,13.12,13.12
1,9.15,16.01,2,9.10,16.08,3,9.12,16.22,4,18.28,31.40
1,8.65,24.66,2,8.66,24.74,3,8.65,24.87,4,16.73,48.13
1,8.65,33.31,2,8.63,33.37,3,8.65,33.52,4,14.23,1:02.36
1,9.06,42.370,2,9.41,42.774,0,,PEN,3,15.66,1:18.015
