Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Yoann MARTINEZ POSITION,Yoann MARTINEZ LAP TIME,Yoann MARTINEZ ELAPSED TIME,Billy SIMMS POSITION,Billy SIMMS LAP TIME,Billy SIMMS ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME
1,10.84,10.84,2,10.94,10.94,3,11.13,11.13,5,11.54,,4,11.29,11.29
1,14.79,25.63,2,14.80,25.74,3,14.75,25.88,5,14.76,,4,14.79,26.08
1,13.31,38.94,2,13.31,39.05,3,13.28,39.16,5,13.19,,4,13.22,39.30
1,12.64,51.58,2,12.63,51.68,3,12.63,51.79,5,12.61,,4,12.64,51.94
2,11.15,1:02.73,3,11.14,1:02.82,4,11.18,1:02.97,5,11.02,,1,10.75,1:02.69
2,9.82,1:12.55,3,9.82,1:12.64,4,9.78,1:12.75,5,9.75,,1,9.81,1:12.50
1,9.55,1:22.10,3,9.61,1:22.25,4,9.61,1:22.36,5,9.59,,2,9.66,1:22.16
1,9.80,1:31.90,3,9.84,1:32.09,4,9.81,1:32.17,5,9.80,,2,9.82,1:31.98
1,9.68,1:41.58,3,9.76,1:41.85,4,9.75,1:41.92,5,9.79,,2,9.70,1:41.68
1,9.64,1:51.22,3,9.54,1:51.39,5,9.55,1:51.47,4,9.39,,2,9.61,1:51.29
1,9.15,2:00.37,5,9.47,2:00.86,4,9.24,2:00.71,3,9.16,,2,9.20,2:00.49
1,9.10,2:09.47,5,9.12,2:09.98,4,9.07,2:09.78,3,9.05,,2,9.03,2:09.52
1,9.03,2:18.50,5,9.17,2:19.15,4,9.07,2:18.85,3,9.06,,2,9.06,2:18.58
1,9.21,2:27.71,4,9.57,2:28.728,3,9.17,2:28.026,3,9.22,,2,9.21,2:27.794
