Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Jeremy MASSON POSITION,Jeremy MASSON LAP TIME,Jeremy MASSON ELAPSED TIME
2,7.05,7.05,1,6.87,6.87,4,7.23,7.23,3,7.22,7.22
2,9.25,16.30,1,9.35,16.22,3,9.18,16.41,4,9.41,16.63
2,8.99,25.29,1,8.96,25.18,3,9.00,25.41,4,8.90,25.53
1,8.86,34.15,2,8.98,34.16,3,8.82,34.23,4,8.89,34.42
1,8.95,43.096,2,9.30,43.459,3,9.37,43.594,4,9.21,43.626
