Christian LUKAS POSITION,Christian LUKAS LAP TIME,Christian LUKAS ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Denis ZASLAVSKY POSITION,Denis ZASLAVSKY LAP TIME,Denis ZASLAVSKY ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Eric BEDARD POSITION,Eric BEDARD LAP TIME,Eric BEDARD ELAPSED TIME,Leon FLACK POSITION,Leon FLACK LAP TIME,Leon FLACK ELAPSED TIME
3,8.092,8.092,5,8.248,8.248,6,8.419,8.419,2,7.929,7.929,1,7.927,7.927,4,8.119,8.119
4,10.986,19.078,5,10.862,19.109,6,10.883,19.301,2,10.918,18.846,1,10.894,18.821,3,10.761,18.879
6,10.518,29.596,3,10.226,29.335,5,10.108,29.409,4,10.512,29.357,1,10.322,29.143,2,10.331,29.210
6,10.317,39.913,5,10.398,39.733,4,10.298,39.706,3,10.156,39.512,1,10.235,39.377,2,10.269,39.479
6,10.398,50.310,5,10.535,50.267,4,10.521,50.227,3,10.602,50.114,1,10.618,49.995,2,10.565,50.043
6,10.846,1:01.155,4,10.546,1:00.813,5,10.689,1:00.916,3,10.664,1:00.777,1,10.683,1:00.677,2,10.702,1:00.745
6,10.158,1:11.313,4,10.390,1:11.203,5,10.289,1:11.205,3,10.235,1:11.011,1,10.218,1:10.895,2,10.181,1:10.925
6,10.459,1:21.772,5,10.516,1:21.718,4,10.365,1:21.570,3,10.451,1:21.462,1,10.409,1:21.304,2,10.478,1:21.403
6,10.538,1:32.310,5,10.325,1:32.043,4,10.449,1:32.018,3,10.348,1:31.809,1,10.393,1:31.697,2,10.375,1:31.778
6,10.452,1:42.761,5,9.899,1:41.942,3,9.823,1:41.841,2,9.974,1:41.783,1,10.022,1:41.718,4,10.077,1:41.855
6,10.825,1:53.586,5,9.821,1:51.763,3,9.690,1:51.531,2,9.669,1:51.451,1,9.635,1:51.353,4,9.678,1:51.533
6,11.506,2:05.091,5,9.821,2:01.583,2,9.734,2:01.265,3,9.835,2:01.286,1,9.840,2:01.192,4,9.876,2:01.408
6,11.811,2:16.902,5,10.287,2:11.870,3,9.968,2:11.232,2,9.872,2:11.158,1,9.939,2:11.130,4,9.915,2:11.323
5,12.48,2:29.380,4,11.19,2:23.051,0,,DQ,2,10.24,2:21.391,1,10.16,2:21.289,3,10.13,2:21.449
