Sascha LAUBER POSITION,Sascha LAUBER LAP TIME,Sascha LAUBER ELAPSED TIME,Tomas GRESCHNER POSITION,Tomas GRESCHNER LAP TIME,Tomas GRESCHNER ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Ivan BELOV POSITION,Ivan BELOV LAP TIME,Ivan BELOV ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME
3,13.854,13.854,4,14.076,14.076,1,13.740,13.740,2,13.842,13.842,5,14.258,14.258
4,10.443,24.297,2,10.204,24.280,1,10.491,24.230,5,10.537,24.379,3,10.036,24.293
3,9.940,34.237,4,9.966,34.246,2,9.918,34.148,5,10.041,34.419,1,9.848,34.141
4,9.673,43.910,2,9.377,43.622,1,9.459,43.606,5,9.739,44.157,3,9.624,43.764
4,9.575,53.484,2,9.486,53.108,1,9.433,53.039,5,9.475,53.632,3,9.477,53.241
4,9.342,1:02.826,3,9.489,1:02.597,1,9.330,1:02.369,5,9.836,1:03.467,2,9.275,1:02.516
3,9.511,1:12.336,4,9.786,1:12.383,1,9.378,1:11.747,5,10.452,1:13.918,2,9.430,1:11.945
3,9.808,1:22.144,4,10.028,1:22.411,2,9.697,1:21.444,5,11.367,1:25.284,1,9.335,1:21.280
3,10.09,1:32.229,4,10.60,1:33.002,2,10.03,1:31.471,5,12.75,1:38.032,1,9.82,1:31.094
