Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME
1,14.40,14.40,2,14.48,14.48,3,14.57,14.57,4,14.73,14.73
1,11.52,25.92,2,11.54,26.02,3,11.56,26.13,4,11.53,26.26
1,11.27,37.19,2,11.28,37.30,4,11.26,37.39,3,11.10,37.36
2,9.94,47.13,3,9.93,47.23,4,10.20,47.59,1,9.69,47.05
2,10.01,57.14,3,10.00,57.23,4,9.79,57.38,1,9.99,57.04
2,9.92,1:07.06,3,9.96,1:07.19,4,10.01,1:07.39,1,9.92,1:06.96
2,9.82,1:16.88,3,9.72,1:16.91,4,9.95,1:17.34,1,9.86,1:16.82
1,9.70,1:26.58,3,10.08,1:26.99,4,10.39,1:27.73,2,10.00,1:26.82
1,9.95,1:36.529,3,9.89,1:36.873,4,10.88,1:38.603,2,9.91,1:36.727
