Petra VANKOVA POSITION,Petra VANKOVA LAP TIME,Petra VANKOVA ELAPSED TIME,KIKUCHI Yuki POSITION,KIKUCHI Yuki LAP TIME,KIKUCHI Yuki ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Kasandra BRADETTE POSITION,Kasandra BRADETTE LAP TIME,Kasandra BRADETTE ELAPSED TIME
4,7.99,7.99,1,7.50,7.50,5,8.09,8.09,2,7.57,7.57,3,7.60,7.60
5,10.28,18.27,2,9.70,17.20,4,10.07,18.16,3,9.82,17.39,1,9.56,17.16
4,9.54,27.81,2,9.29,26.49,4,9.65,27.81,3,9.29,26.68,1,9.06,26.22
4,9.67,37.48,2,9.21,35.70,5,9.85,37.66,3,9.08,35.76,1,9.26,35.48
4,9.88,47.36,0,,PHOTO,5,9.77,47.43,3,9.37,45.13,0,,PHOTO
