Muhammet KARADENIZ POSITION,Muhammet KARADENIZ LAP TIME,Muhammet KARADENIZ ELAPSED TIME,Keith CARROLL POSITION,Keith CARROLL LAP TIME,Keith CARROLL ELAPSED TIME,HANDEI Volodymyr POSITION,HANDEI Volodymyr LAP TIME,HANDEI Volodymyr ELAPSED TIME,XU Fu POSITION,XU Fu LAP TIME,XU Fu ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,Einar AGDESTEIN POSITION,Einar AGDESTEIN LAP TIME,Einar AGDESTEIN ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME
2,8.99,8.99,5,9.32,9.32,1,8.66,8.66,6,9.46,9.46,7,9.48,9.48,3,9.16,9.16,8,9.71,9.71,4,9.29,9.29
4,11.83,20.82,7,11.95,21.27,3,12.03,20.69,6,11.69,21.15,2,11.19,20.67,5,11.86,21.02,8,11.59,21.30,1,11.32,20.61
4,11.08,31.90,8,10.97,32.24,3,11.13,31.82,5,10.84,31.99,1,10.95,31.62,7,10.99,32.01,5,10.69,31.99,2,11.12,31.73
7,11.12,43.02,8,10.93,43.17,4,10.94,42.76,5,10.78,42.77,2,11.03,42.65,6,10.85,42.86,2,10.66,42.65,1,10.82,42.55
7,10.20,53.22,8,10.18,53.35,5,10.18,52.94,1,9.74,52.51,3,10.09,52.74,5,10.08,52.94,4,10.18,52.83,2,10.08,52.63
7,9.90,1:03.12,8,9.79,1:03.14,6,10.06,1:03.00,1,9.83,1:02.34,3,9.83,1:02.57,5,9.92,1:02.86,4,9.87,1:02.70,2,9.81,1:02.44
7,9.74,1:12.86,8,9.82,1:12.96,6,9.69,1:12.69,1,9.81,1:12.15,3,9.78,1:12.35,5,9.71,1:12.57,4,9.78,1:12.48,1,9.71,1:12.15
8,9.69,1:22.55,5,9.43,1:22.39,7,9.76,1:22.45,2,9.96,1:22.11,3,9.85,1:22.20,4,9.77,1:22.34,6,9.96,1:22.44,1,9.85,1:22.00
7,9.78,1:32.33,4,9.43,1:31.82,6,9.72,1:32.17,1,9.45,1:31.56,3,9.49,1:31.69,5,9.69,1:32.03,8,9.96,1:32.40,2,9.65,1:31.65
7,9.59,1:41.92,4,9.51,1:41.33,6,9.60,1:41.77,1,9.48,1:41.04,3,9.48,1:41.17,5,9.45,1:41.48,8,9.68,1:42.08,2,9.41,1:41.06
7,9.75,1:51.67,4,9.53,1:50.86,6,9.76,1:51.53,1,9.35,1:50.39,3,9.58,1:50.75,5,9.50,1:50.98,8,9.85,1:51.93,2,9.52,1:50.58
7,10.13,2:01.80,3,9.21,2:00.07,6,10.12,2:01.65,1,9.42,1:59.81,4,9.37,2:00.12,5,9.65,2:00.63,8,10.02,2:01.95,2,9.32,1:59.90
7,10.59,2:12.39,1,9.35,2:09.42,6,10.57,2:12.22,2,9.73,2:09.54,4,9.80,2:09.92,5,10.07,2:10.70,8,10.50,2:12.45,3,9.81,2:09.71
8,10.88,2:23.236,1,9.57,2:18.968,6,10.75,2:22.939,2,9.66,2:19.174,4,9.80,2:19.702,5,10.62,2:21.299,7,10.58,2:23.010,3,9.88,2:19.565
